rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,latitude,longitude
198,"Allahabad, India",100,154,89,64,60,59,58,57,78,71,135,228,149,25.4381302,81.8338005
199,"Cuttack, India",100,138,146,123,119,63,65,30,47,41,72,161,192,20.4686,85.8792
200,"Diu, India",100,173,188,114,79,69,59,48,50,50,122,122,120,20.7137783,70.9853635
201,"Ghandinagar, India",100,133,163,106,118,85,70,74,72,62,122,119,77,9.6311246,76.5254446
202,"Cangzhou, China",100,142,127,145,132,73,63,55,50,66,117,111,123,38.3042796,116.8511597
203,"Lanzhou, China",100,164,111,137,144,89,65,59,62,59,65,109,139,36.0615192,103.8318849
204,"Qufu, China",100,184,127,147,120,65,61,46,50,58,84,111,150,35.5956915,116.987543
205,"Yangquan, China",100,121,170,162,132,76,63,57,61,73,83,90,113,38.0935972,113.5265601
206,"Zouping, China",100,161,128,146,134,79,63,51,50,65,72,104,142,36.8629315,117.736995
207,"Chengtangcun, China",99,172,114,145,116,67,63,45,57,65,91,114,140,23.91389,115.77972
208,"Jining, China",99,184,131,142,121,64,63,45,51,59,89,105,139,35.4125047,116.5849266
209,"Pingyi, China",99,161,113,146,126,68,62,46,51,72,88,106,149,35.5177818,117.6097303
210,"Shouguang, China",99,143,124,152,132,81,62,51,51,71,88,98,140,36.8762356,118.7322549
211,"Tongchuan, China",99,180,154,132,148,55,55,55,53,49,61,111,137,34.8972729,108.9403845
212,"Tongshan, China",99,162,112,144,110,68,61,40,47,63,105,126,146,34.1824217,117.1638669
213,"Yinchuan, China",99,158,113,139,142,77,60,63,59,67,76,93,136,38.4852037,106.2261926
214,"Chkalov, Tajikistan",99,338,182,90,39,36,38,34,33,44,69,173,107,40.224670768263664,69.69990499772489
215,"Bharatpur, India",99,103,97,83,98,100,118,82,64,51,99,147,150,27.024695899999998,77.29201163357268
216,"Ahmedabad, India",98,121,142,111,104,94,72,66,66,64,114,130,97,23.0215374,72.5800568
217,"Barehra, India",98,117,98,80,89,85,101,65,78,65,100,156,147,,
218,"Surat, India",98,176,182,112,75,66,58,48,48,49,118,125,120,21.2094892,72.8317058
219,"Ujjain, India",98,147,128,125,97,86,72,53,69,53,109,113,121,23.1885131,75.7716562
220,"Jiangjiafan, China",98,207,158,135,111,67,42,35,51,44,79,120,131,30.0178514,114.4272763
221,"Yishui, China",98,149,107,154,122,76,58,44,47,59,93,111,153,32.2666751,110.089043
222,"Baojishi, China",97,184,170,133,135,51,46,48,47,51,53,103,144,,
223,"Bozhou, China",97,194,119,138,122,58,58,40,50,55,109,97,121,33.8490794,115.7730968
224,"Kumul, China",97,178,110,123,134,81,56,70,80,69,73,85,108,42.8254995,93.5130464
225,"Linyi, China",97,151,111,149,116,75,59,44,47,60,89,115,152,35.1032403,118.3506988
226,"Shuozhou, China",97,137,107,143,140,92,71,58,63,60,78,88,128,39.3305654,112.4262465
227,"Taian, China",97,157,122,147,129,68,61,49,51,61,83,98,139,41.3785479,122.4268343
228,"Tianjin, China",97,125,124,168,129,76,51,46,44,69,107,95,135,39.3032619,117.4163641
